Extrato Rede - Controle de vendas,,,,,,,
20/09/2017 às 17:45:06,,,,,,,
Nome da empresa: ,Agência/conta: ,,,,,,
Data da captura: 01/09/2017,Ponto de venda: ,Função: ,,,,,
,,,,,,,
Comprovante de venda(CV)(1),Valor da venda (R$),Quantidade,Bandeira,Resumo de,Situação,Descrição,Conferido
,,de parcelas,,venda (RV)(2),,,
2935760,"95,38",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
3453242,"50,39",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
3482296,"131,39",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
3521180,"96,39",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
3708996,"118,78",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
4400268,"120,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
4955932,"199,78",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
5145668,"62,67",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
5901558,"44,99",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
6010906,"64,77",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
6259818,"150,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
247209474,"10,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
247227066,"43,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
248056274,"45,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
248371098,"89,99",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
248598974,"125,98",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
249434654,"80,05",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
249625944,"89,99",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
250770470,"89,99",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
251000702,"40,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
252326968,"80,99",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
497470866,"178,06",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
497835464,"23,42",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
499171084,"94,39",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
499420114,"59,99",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
752469380,"80,99",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
752485130,"30,51",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
752542950,"175,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
752917554,"39,20",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
752945388,"236,51",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
753564340,"85,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
753640842,"205,45",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
997074234,"7,10",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
997348158,"50,00",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
997642202,"176,17",0,MASTERCARD,244013284,STATUS DO CV / NSU,,não
4628946,"125,99",0,VISA,244445054,STATUS DO CV / NSU,,não
4900012,"71,99",0,VISA,244445054,STATUS DO CV / NSU,,não
5966456,"140,39",0,VISA,244445054,STATUS DO CV / NSU,,não
5980404,"35,99",0,VISA,244445054,STATUS DO CV / NSU,,não
247469144,"32,39",0,VISA,244445054,STATUS DO CV / NSU,,não
250832628,"71,98",0,VISA,244445054,STATUS DO CV / NSU,,não
250966818,"71,19",0,VISA,244445054,STATUS DO CV / NSU,,não
497972324,"157,53",0,VISA,244445054,STATUS DO CV / NSU,,não
498729510,"71,79",0,VISA,244445054,STATUS DO CV / NSU,,não
499214990,"179,97",0,VISA,244445054,STATUS DO CV / NSU,,não
499221296,"44,99",0,VISA,244445054,STATUS DO CV / NSU,,não
752673786,"42,00",0,VISA,244445054,STATUS DO CV / NSU,,não
752902164,"143,99",0,VISA,244445054,STATUS DO CV / NSU,,não
753037202,"75,00",0,VISA,244445054,STATUS DO CV / NSU,,não
753891084,"298,77",0,VISA,244445054,STATUS DO CV / NSU,,não
996834410,"30,18",0,VISA,244445054,STATUS DO CV / NSU,,não
997451674,"111,05",0,VISA,244445054,STATUS DO CV / NSU,,não
997534348,"67,19",0,VISA,244445054,STATUS DO CV / NSU,,não
998044948,"59,39",0,VISA,244445054,STATUS DO CV / NSU,,não
247140924,"132,82",0,MASTERCARD,245013267,STATUS DO CV / NSU,,não
996163424,"4,97",0,VISA,245446182,STATUS DO CV / NSU,,não
"(1)CV (Comprovante de Venda), ou NSU, é o código atribuído pela credenciadora que identifica cada transação de venda efetuada com cartão de crédito ou débito.",,,,,,,
(2)RV (Resumo de Vendas) é o código atribuído pela credenciadora para identificar um conjunto de transações de vendas efetuadas (CV's). Este resumo normalmente é gerado na finalização do terminal.,,,,,,,
